Dataset	TF	Top_Method	Top_ROC_AUC	Top_MWU_Adjusted_P_Value	Top_MWU_Significant_FDR_BH	Top_N_Cells	Top_N_Pos	Top_N_Control	Second_Method	Second_ROC_AUC	Second_MWU_Adjusted_P_Value	Second_MWU_Significant_FDR_BH	AUC_Diff	DeLong_Z	DeLong_P_Value	DeLong_P_Value_FDR_BH	DeLong_Significant_FDR_BH
PapalexiSatija2021_eccite_RNA	IRF1	viper	0.6019167417265519	1.5258145678483684e-21	True	3459	1073	2386	z-aggregate	0.5957976359456257	4.412636798395472e-19	True	0.006119105780926115	1.6583062764452432	0.09725566281883186	0.1945113256376637	False
PapalexiSatija2021_eccite_RNA	MYC	z-aggregate	0.5789006205926005	0.0052726414530070605	True	2495	109	2386	ulm	0.5725601175050179	0.0102972405421486	True	0.006340503087582605	0.6564700529333579	0.5115217299333426	0.585960175386393	False
PapalexiSatija2021_eccite_RNA	NFKBIA	z-aggregate	0.5262213611590696	0.02262641921830392	True	3173	787	2386	ulm	0.5231677585577026	0.03638101620493865	True	0.0030536026013670003	0.6097833013033989	0.5420053646317959	0.585960175386393	False
PapalexiSatija2021_eccite_RNA	STAT3	viper	0.5218022983971748	0.07933067140074512	True	2879	493	2386	z-aggregate	0.5142174857051529	0.19973780856355114	False	0.007584812692021936	0.9340695584934482	0.35026801349106584	0.5604288215857054	False
ReplogleWeissman2022_K562_essential	MAX	ulm	0.8805393783789425	2.8582519247851294e-67	True	10826	180	10646	zscore	0.877662972008266	2.9187521965480677e-66	True	0.002876406370676432	0.7033323402432455	0.48184866090305845	0.7227729913545877	False
ReplogleWeissman2022_K562_essential	RUVBL1	ulm	0.8338470905179832	3.1397327309978846e-55	True	10837	191	10646	zscore	0.8338470905179832	3.1397327309978846e-55	True	0.0	0.0	1.0	1.0	False
ReplogleWeissman2022_K562_essential	RUVBL2	viper	0.7669547247792597	0.002097897370072862	True	10660	14	10646	z-aggregate	0.7480945224229085	0.003885211709518615	True	0.01886020235635122	0.8726390900996341	0.38285982695755894	0.6700046971757282	False
ReplogleWeissman2022_K562_essential	GATA1	ulm	0.7133848617410519	6.173227619219269e-13	True	10751	105	10646	z-aggregate	0.6193571473300948	0.0001197768695950186	True	0.09402771441095703	6.219559062632633	4.985539319214806e-10	5.2348162851755466e-09	True
ReplogleWeissman2022_K562_essential	NRF1	z-aggregate	0.6692069144837688	1.0117622181269098e-05	True	10715	69	10646	ulm	0.6545548848720483	5.9700889573294565e-05	True	0.014652029611720518	1.248354305354629	0.21190133506789066	0.44499280364257043	False
ReplogleWeissman2022_K562_essential	MYC	ulm	0.6660009933629969	7.524459850660187e-06	True	10719	73	10646	zscore	0.6606700310618948	2.0678464096497578e-05	True	0.005330962301102082	0.5444295762182474	0.5861458977454044	0.7303101967782117	False
ReplogleWeissman2022_K562_essential	MYBL2	zscore	0.6504088321608552	1.8263698438992152e-06	True	10749	103	10646	ulm	0.642210301877363	6.267168053783331e-06	True	0.008198530283492156	2.6688076177020617	0.0076121037059803205	0.031970835565117345	True
ReplogleWeissman2022_K562_essential	ATF4	z-aggregate	0.613776431419208	0.002757390485281767	True	10718	72	10646	viper	0.6085305905191308	0.004060779964878137	True	0.005245840900077181	0.47631771709303317	0.6338480451314413	0.7394893859866816	False
ReplogleWeissman2022_K562_essential	CHEK1	z-aggregate	0.6051198726642459	1.0681195765068281e-08	True	10938	292	10646	viper	0.5731482529935998	0.00012453783153878277	True	0.0319716196706461	6.092488617375021	1.1116875130021894e-09	7.781812591015326e-09	True
ReplogleWeissman2022_K562_essential	TFDP1	zscore	0.602117330856141	5.6963272120395e-05	True	10809	163	10646	viper	0.588935156958632	0.00040584359852237817	True	0.013182173897509086	1.757285793820588	0.07886910799858972	0.23660732399576917	False
ReplogleWeissman2022_K562_essential	NELFA	viper	0.6002243571056854	0.0037303511048758452	True	10733	87	10646	ulm	0.597469018637403	0.007062088709553537	True	0.0027553384682824644	0.38172331131516296	0.7026666071895165	0.7766315132094656	False
ReplogleWeissman2022_K562_essential	TRRAP	viper	0.5877882828673624	2.5412029628328295e-08	True	11050	404	10646	z-aggregate	0.5551171545860204	0.0006148226077274869	True	0.032671128281342	6.328741558277628	2.4716868679620525e-10	5.19054242272031e-09	True
ReplogleWeissman2022_K562_essential	POLR2I	viper	0.5822961113952542	0.0002462979518590744	True	10855	209	10646	z-aggregate	0.57656176545406	0.0006148226077274869	True	0.005734345941194152	0.9413608778260447	0.34651995498994603	0.661538095889897	False
ReplogleWeissman2022_K562_essential	SUPT5H	viper	0.579935297432894	4.820611448453601e-06	True	10986	340	10646	z-aggregate	0.5708211313832314	4.658753387105649e-05	True	0.009114166049662531	1.5449108676257264	0.1223678243992043	0.3212155390479113	False
ReplogleWeissman2022_K562_essential	ZBTB17	ulm	0.5718662455677687	0.007062088709553537	True	10805	159	10646	viper	0.5678868373511414	0.007354406582599134	True	0.003979408216627234	0.6065894341210457	0.5441234139158316	0.7303101967782117	False
ReplogleWeissman2022_K562_essential	CDK9	z-aggregate	0.5707008718280557	0.012035834054550517	True	10781	135	10646	ulm	0.5677639315061821	0.020873877796422368	True	0.002936940321873638	0.5370928308769741	0.591203492629981	0.7303101967782117	False
ReplogleWeissman2022_K562_essential	MED1	viper	0.5557857371767042	0.007354406582599134	True	10884	238	10646	z-aggregate	0.5440335818715989	0.04518717158243748	True	0.011752155305105316	1.479210948741413	0.13908394423578122	0.3245292032168228	False
ReplogleWeissman2022_K562_essential	CCND1	zscore	0.5549682303984518	0.05725992886461966	True	10792	146	10646	ulm	0.5507116956912237	0.0842691099689822	True	0.004256534707228088	0.7691608999977013	0.4417977987790602	0.7136733672584818	False
