Dataset	TF	Top_Weight	Top_ROC_AUC	Top_MWU_Adjusted_P_Value	Top_MWU_Significant_FDR_BH	Top_N_Cells	Top_N_Pos	Top_N_Control	Second_Weight	Second_ROC_AUC	Second_MWU_Adjusted_P_Value	Second_MWU_Significant_FDR_BH	AUC_Diff	DeLong_Z	DeLong_P_Value	DeLong_P_Value_FDR_BH	DeLong_Significant_FDR_BH
NadigOConner2024_jurkat	GTF2H2	CORRELATION	0.5888441499128523	0.02024984410169969	True	11993	72	11921	SPECIFICITY	0.5323204149540027	0.37441712578377756	False	0.05652373495884955	2.369934733433186	0.01779122555302152	0.16240769611168876	False
NadigOConner2024_jurkat	NELFA	CORRELATION	0.5849061879596231	0.004837702368055405	True	12041	120	11921	NONZERORATE	0.5803169476833598	0.00736379970305339	True	0.0045892402762632845	0.6297488034378671	0.5288589465931443	0.7303290214857706	False
NadigOConner2024_jurkat	GTF2F2	CORRELATION	0.5781858399511998	0.017739397043883356	True	12024	103	11921	SPECIFICITY	0.5590126911552836	0.09526907861667415	True	0.01917314879591614	1.6878117548295057	0.09144737040305678	0.2915578771701514	False
NadigOConner2024_jurkat	GABPA	UNIFORM	0.5771271985012443	0.012718219474425044	True	12041	120	11921	SPECIFICITY	0.5769587282946061	0.01332716925974373	True	0.00016847020663812717	0.01605435215440492	0.9871910305200499	0.9932294404263586	False
NadigOConner2024_jurkat	TGS1	NONZERORATE	0.5768694228345264	0.00481738232858718	True	12075	154	11921	SPECIFICITY	0.5669714690979685	0.013830313003475671	True	0.009897953736557885	0.947450513741518	0.34340926141072936	0.5858157988771266	False
NadigOConner2024_jurkat	POLR2I	NONZERORATE	0.5723359945729677	0.017688118643453044	True	12036	115	11921	UNIFORM	0.5655748168194235	0.04075069913698576	True	0.006761177753544234	1.0108248831891895	0.31210025132293606	0.5656817055228216	False
NadigOConner2024_jurkat	NELFCD	CORRELATION	0.5637569977192618	0.045232798537165865	True	12027	106	11921	NONZERORATE	0.5621117324271581	0.05551433521078306	True	0.001645265292103737	0.08028207527744154	0.9360129140495388	0.9932294404263586	False
NadigOConner2024_jurkat	ATR	CORRELATION	0.563111249588894	0.030442897421238596	True	12047	126	11921	UNIFORM	0.5589495927554815	0.051349595942093304	True	0.004161656833412519	0.7736787396611087	0.4391207955713117	0.6915331102070797	False
NadigOConner2024_jurkat	CCNK	NONZERORATE	0.554055407664452	0.011182950665191075	True	12158	237	11921	UNIFORM	0.5486308068200039	0.028987322840464274	True	0.00542460084444818	1.3819787926919127	0.16697821284881564	0.35696760424484525	False
NadigOConner2024_jurkat	ZBTB17	CORRELATION	0.5290670838409246	0.08368192078154676	True	12323	402	11921	UNIFORM	0.489083293372914	0.9162195972960104	False	0.039983790468010594	1.7603775664243841	0.07834381042687946	0.2915578771701514	False
NormanWeissman2019_filtered	IRF1	CORRELATION	0.9465283512248832	4.3304853043363015e-212	True	12184	420	11764	SPECIFICITY	0.9307682032350513	1.8244177516898235e-197	True	0.01576014798983194	3.0166335378763818	0.0025559860833468794	0.005963967527809385	True
NormanWeissman2019_filtered	CEBPA	CORRELATION	0.846118339162434	3.3444933977430794e-137	True	12215	451	11764	UNIFORM	0.8258777012208315	8.791366502762145e-122	True	0.02024063794160247	2.51424741513703	0.011928671602840129	0.018555711382195753	True
NormanWeissman2019_filtered	SPI1	CORRELATION	0.7983960503857579	1.0432397038722845e-135	True	12371	607	11764	UNIFORM	0.7061243443964134	1.5579287001259222e-65	True	0.09227170598934453	7.330147649028313	2.298993046593364e-13	3.2185902652307095e-12	True
NormanWeissman2019_filtered	TP73	UNIFORM	0.782181686998781	1.0657842549966781e-51	True	12010	246	11764	CORRELATION	0.7604587372803344	2.322755890639475e-44	True	0.02172294971844657	2.1010928247128255	0.03563281864813089	0.04535086009762114	True
NormanWeissman2019_filtered	CEBPB	CORRELATION	0.6985364955230646	4.6463130905653995e-49	True	12244	480	11764	UNIFORM	0.6963015697608523	4.319509484087634e-48	True	0.002234925762212292	0.24870459704103678	0.8035892926306349	0.8035892926306349	False
NormanWeissman2019_filtered	HNF4A	CORRELATION	0.6452430708074243	3.0902930982275137e-14	True	11997	233	11764	UNIFORM	0.5425116708719262	0.023010681125363627	True	0.10273139993549807	3.461627329783458	0.0005369200697277685	0.0015033761952377516	True
NormanWeissman2019_filtered	AHR	CORRELATION	0.5978670434768276	7.099115157620446e-15	True	12321	557	11764	UNIFORM	0.5288087168533523	0.021355298415479475	True	0.06905832662347533	4.1004470830262445	4.123527219126087e-05	0.00014432345266941307	True
NormanWeissman2019_filtered	JUN	CORRELATION	0.5838477478460029	2.603724388385899e-06	True	12029	265	11764	SPECIFICITY	0.5302743258935159	0.09136796545921934	True	0.053573421952487044	2.6726920868323587	0.007524528166965611	0.01316792429218982	True
NormanWeissman2019_filtered	FOXA1	CORRELATION	0.5766176928699553	1.2570491345978696e-13	True	12599	835	11764	SPECIFICITY	0.4923993224024579	0.8787184989177828	False	0.08421837046749747	6.755943148626357	1.4190905918559687e-11	9.933634142991781e-11	True
NormanWeissman2019_filtered	EGR1	CORRELATION	0.5740163080670917	5.496372639577564e-06	True	12080	316	11764	UNIFORM	0.5303010902173118	0.04769641696122575	True	0.04371521784977994	2.3102676886373272	0.02087333862323525	0.029222674072529348	True
NormanWeissman2019_filtered	SNAI1	NONZERORATE	0.5725976675483646	1.5260202847250005e-07	True	12226	462	11764	SPECIFICITY	0.5647722304896736	2.558192991016791e-06	True	0.007825437058690987	1.7052557799880474	0.0881467308920482	0.09492724865297499	True
NormanWeissman2019_filtered	MAML2	NONZERORATE	0.5651697555959637	6.094095844772057e-08	True	12385	621	11764	UNIFORM	0.531543873308727	0.008880190582553649	True	0.03362588228723673	4.947709812979494	7.509174412866945e-07	3.5042813926712413e-06	True
NormanWeissman2019_filtered	ETS2	SPECIFICITY	0.5420158514950228	2.6472192261911744e-07	True	12959	1195	11764	UNIFORM	0.5380388220782786	3.3285385549107665e-06	True	0.003977029416744271	1.9870601589943262	0.046915730610128985	0.05473501904515048	True
NormanWeissman2019_filtered	MAPK1	CORRELATION	0.5295616184791432	0.003704501564854586	True	12521	757	11764	SPECIFICITY	0.5040257270125772	0.4685822451844757	False	0.025535891466565985	2.8672392749862734	0.0041406982421921855	0.008281396484384371	True
PapalexiSatija2021_eccite_RNA	STAT1	CORRELATION	0.869324060019785	1.596288300139192e-134	True	2830	444	2386	NONZERORATE	0.828871306344064	6.2218605990433e-107	True	0.04045275367572099	5.518046764000925	3.427882262163965e-08	1.371152904865586e-07	True
PapalexiSatija2021_eccite_RNA	JAK2	CORRELATION	0.7188920231297151	3.6417419977365563e-91	True	3410	1024	2386	SPECIFICITY	0.6152740759901509	2.9193876410079526e-26	True	0.10361794713956418	11.951611106348281	6.36786540407553e-33	5.094292323260424e-32	True
PapalexiSatija2021_eccite_RNA	IRF1	CORRELATION	0.6262595803885511	2.0353593967670034e-32	True	3459	1073	2386	UNIFORM	0.5957976359456257	4.412636798395472e-19	True	0.03046194444292538	5.191422651895477	2.0869328298238915e-07	5.565154212863711e-07	True
PapalexiSatija2021_eccite_RNA	SPI1	SPECIFICITY	0.6026997764738753	0.012247345715542772	True	2434	48	2386	NONZERORATE	0.5953303995529478	0.019609827338611614	True	0.0073693769209275395	0.2633587432611682	0.7922740865490037	0.8698128320943123	False
PapalexiSatija2021_eccite_RNA	MYC	CORRELATION	0.5972492444458116	0.0005845118124053573	True	2495	109	2386	NONZERORATE	0.5854872074870998	0.002504548964981166	True	0.011762036958711808	0.44995709572112447	0.6527413771731542	0.8698128320943123	False
PapalexiSatija2021_eccite_RNA	SMAD4	UNIFORM	0.585728967790106	1.8828584059062762e-11	True	3045	659	2386	CORRELATION	0.5834782310061093	6.283139773737451e-11	True	0.0022507367839966763	0.16389623368226341	0.8698128320943123	0.8698128320943123	False
PapalexiSatija2021_eccite_RNA	STAT3	CORRELATION	0.533839214212725	0.014862928105742749	True	2879	493	2386	UNIFORM	0.5142174857051529	0.19973780856355114	False	0.019621728507572045	1.4766596872871045	0.1397668833904676	0.2795337667809352	False
PapalexiSatija2021_eccite_RNA	NFKBIA	UNIFORM	0.5262213611590696	0.02262641921830392	True	3173	787	2386	SPECIFICITY	0.5170605533549688	0.10756216815818329	False	0.009160807804100779	1.269548539403522	0.20424548998550585	0.32679278397680933	False
ReplogleWeissman2022_K562_essential	GATA1	CORRELATION	0.9075825483302469	9.834963665018483e-46	True	10751	105	10646	NONZERORATE	0.8005626973690096	3.216102932962686e-25	True	0.10701985096123723	5.018985155211748	5.194516327837507e-07	4.675064695053757e-06	True
ReplogleWeissman2022_K562_essential	MAX	NONZERORATE	0.9027730811781159	2.508523652863592e-75	True	10826	180	10646	SPECIFICITY	0.8778294403740582	2.55272727216583e-66	True	0.024943640804057754	3.435808435644524	0.0005907885493544554	0.00265854847209505	True
