Dataset	TF	Weight	N_Pert	N_Control	U_Stat	MWU_AUC_Effect	ROC_AUC	PR_AUC	AP_Baseline	AP_Lift	P_Value	Adjusted_P_Value	Significant_FDR_BH	Mean_Diff	Score
NadigOConner2024_hepg2	GABPB1	UNIFORM	40	4923	112158.0	0.5695612431444241	0.4304387568555758	0.01055106178585467	0.008059641345960105	1.309122991079918	0.9354624846896556	0.971335656566934	False	0.09129164602328232	0.06671423595380967
NadigOConner2024_hepg2	RBMX	UNIFORM	13	4923	40664.0	0.6353849278894983	0.36461507211050176	0.0020530465691305424	0.002633711507293355	0.7795259896329506	0.9543587009724693	0.971335656566934	False	0.6147549258641203	0.04671568137645584
NadigOConner2024_hepg2	USF2	UNIFORM	53	4923	148369.0	0.568640076038924	0.4313599239610761	0.008885451853493296	0.01065112540192926	0.8342265740185404	0.9574352074701581	0.971335656566934	False	0.29421448588557564	0.04349722865542526
NadigOConner2024_hepg2	ASF1B	UNIFORM	45	4923	127561.0	0.5758051775114542	0.42419482248854584	0.007521103660623325	0.009057971014492754	0.830329844132815	0.9605430381606348	0.971335656566934	False	1.2050671601348022	0.04025648969759137
NadigOConner2024_hepg2	HDAC7	UNIFORM	46	4923	144237.0	0.6369260525130488	0.3630739474869512	0.006705117438013947	0.009257395854296638	0.7242984467280719	0.9993172374779514	0.9993172374779514	False	0.7698433587619904	0.0006829957105269419
NadigOConner2024_jurkat	MYC	CORRELATION	115	11921	83142.0	0.06064708607025235	0.9393529139297477	0.23034148546853517	0.009554669325357262	24.107740166080774	1.2644054600935824e-59	1.074744641079545e-57	True	-15.632459854008435	135.61791846697096
NadigOConner2024_jurkat	TRRAP	CORRELATION	35	11921	111137.0	0.2663654774887054	0.7336345225112946	0.021643813860078326	0.002927400468384075	7.3935268146027555	8.72799614179598e-07	3.7093983602632915e-05	True	-2.0156868934135552	13.951559844476687
NadigOConner2024_jurkat	CCNH	CORRELATION	199	11921	957594.0	0.40365994050446846	0.5963400594955315	0.02872268672055534	0.01641914191419142	1.7493415228800537	1.51434601666003e-06	4.290647047203419e-05	True	-0.5929444489149677	13.400526884371793
NadigOConner2024_jurkat	ACTL6A	CORRELATION	9	11921	8670.0	0.08080977546626401	0.919190224533736	0.0091034679536852	0.0007544006705783739	12.067152520829382	6.6692137576748585e-06	0.00014172079235059076	True	-4.4294603151713545	11.918008582394895
NadigOConner2024_jurkat	POLR2F	CORRELATION	41	11921	162362.0	0.3321909890519088	0.6678090109480911	0.02714493243723031	0.0034275204815248286	7.919699556442658	0.00010135234914105969	0.001504937159881117	True	-1.0293212904092388	9.196907506834046
