Dataset	TF	z-aggregate_MWU-pvalue	z-aggregate_MWU-adjusted-pvalue	z-aggregate_ROC-AUC	viper_MWU-pvalue	viper_MWU-adjusted-pvalue	viper_ROC-AUC	ulm_MWU-pvalue	ulm_MWU-adjusted-pvalue	ulm_ROC-AUC	zscore_MWU-pvalue	zscore_MWU-adjusted-pvalue	zscore_ROC-AUC	Top, Second	DeLongs-pvalue	DeLongs-adjusted-pvalue	Winner
ReplogleWeissman2022_K562_gwps	CCNT2	0.8389913700839715	0.9741417727909524	0.4836245449954647	0.8109089688235454	0.9474521292841108	0.4854273286968967	0.8335107828163077	0.9650178600966016	0.4839906290198181	0.8335107828163077	0.9705182213284496	0.4839906290198181				
NadigOConner2024_hepg2	CDC6	0.0389039656287691	0.1029810854879183	0.5608597757579398	0.0932088288847815	0.2374777723443163	0.5455965531151564	0.2271154631128736	0.4171508506154822	0.5258273181645224	0.2271154631128736	0.4088078336031724	0.5258273181645224				
NadigOConner2024_jurkat	CDC6	0.6521599908326624	0.8455708565235106	0.4821166428990856	0.5908476368187864	0.7495828228298036	0.4894975253753879	0.4730761181685224	0.7327126105360908	0.503089086486033	0.4730761181685224	0.7311176371695347	0.503089086486033				
ReplogleWeissman2022_K562_essential	CDC6	0.5206130916574933	0.8155985603347663	0.4988994385177431	0.5677944698353677	0.7949122577695148	0.4963637770104711	0.5127155378837176	0.8523820996295155	0.4993213790221228	0.5127155378837176	0.852733256046013	0.4993213790221228				
ReplogleWeissman2022_K562_gwps	CDC6	0.3635253323106159	0.7719967256735721	0.5093616195319883	0.483514788020118	0.8247823973684612	0.5011087952639642	0.3896493627580898	0.7602413715539595	0.507516977958116	0.3896493627580898	0.7365895887037583	0.507516977958116				
ReplogleWeissman2022_rpe1	CDC6	0.0126575011219429	0.02560267272393	0.570697888372908	0.1423190796327538	0.2261856801306266	0.5338262966625361	0.0630984110999878	0.1146073181203861	0.5483471229550263	0.0630984110999878	0.1169949705812275	0.5483471229550263	z-aggregate, ulm	0.0107741774059829	0.0519119456833721	z-aggregate
NadigOConner2024_hepg2	CDK12	0.3700619600786381	0.5371867162431844	0.5232581759089987	0.3385193911259162	0.5467245471835929	0.5292205852481151	0.1910402764837474	0.3737744539899407	0.5613148367207943	0.1910402764837474	0.3628420288806546	0.5613148367207943				
NadigOConner2024_jurkat	CDK12	0.0006687732113445	0.0071057153705361	0.6545754923617519	0.0002863171659418	0.0034767084435801	0.6659699503210953	0.000399065401238	0.00484579415789	0.661593919227507	0.000399065401238	0.00484579415789	0.661593919227507	viper, ulm	0.6925930981528803	1.0	
ReplogleWeissman2022_K562_gwps	CDK12	0.4002649640916262	0.7866076685626742	0.5099287453371754	0.4515546922177801	0.8229948422678897	0.5047840643699385	0.3898547546363046	0.7602413715539595	0.5109917328707115	0.3898547546363046	0.7365895887037583	0.5109917328707115				
ReplogleWeissman2022_rpe1	CDK12	0.0008553201836607	0.0021749570384517	0.6134390333391746	0.0004077811733441	0.0012961615867009	0.6211351638482433	0.000117116049741	0.0003860492009983	0.6331294357311837	0.000117116049741	0.0004169331370782	0.6331294357311837	ulm, zscore	1.0	1.0	
NadigOConner2024_hepg2	CDK7	0.5465104915826586	0.7026563463205611	0.4920441465231228	0.6784066319499611	0.837830838804882	0.4684248538605637	0.6720336509033792	0.8285346381000566	0.4696323380052813	0.6720336509033792	0.8285346381000566	0.4696323380052813				
NadigOConner2024_jurkat	CDK7	0.0114781449752914	0.0513495959420933	0.664242722925929	0.0115504747931911	0.0545439087456247	0.6640697089170371	0.024738089975927	0.0955789839979	0.641876730140089	0.024738089975927	0.1001303641882762	0.641876730140089	z-aggregate, viper	0.9885567549655504	1.0	
